"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"R1";"CR0603";1;"R1";;;
2;"R10";"CR0603";1;"R10";;;
3;"R11";"CR0603";1;"R11";;;
4;"R12";"CR0603";1;"R12";;;
5;"R13";"CR0603";1;"R13";;;
6;"R14";"CR0603";1;"R14";;;
7;"R15";"CR0603";1;"R15";;;
8;"R16";"CR0603";1;"R16";;;
9;"R2";"CR0603";1;"R2";;;
10;"R3";"CR0603";1;"R3";;;
11;"R4";"CR0603";1;"R4";;;
12;"R5";"CR0603";1;"R5";;;
13;"R6";"CR0603";1;"R6";;;
14;"R7";"CR0603";1;"R7";;;
15;"R8";"CR0603";1;"R8";;;
16;"R9";"CR0603";1;"R9";;;
17;"PORT1,PORT2,PORT3,PORT4,PORT5,PORT6,PORT7,PORT8";"MTJ-88ARX1-LH";8;"MTJ-88ARX1-LH";;;
18;"LED CONTROL";"ML10";1;"";;;
19;"H3,H1,H2,H4";"3,2";4;"MOUNT-HOLE3.2(NORESIST)";;;
