Ref,Val,Package,PosX,PosY,Rot,Side
"R1","R1","CR0603",115.491100,-101.828600,180.000000,bottom
"R2","R2","CR0603",133.271100,-101.828600,180.000000,bottom
"R3","R3","CR0603",151.051100,-101.828600,180.000000,bottom
"R4","R4","CR0603",168.831100,-101.828600,180.000000,bottom
"R5","R5","CR0603",125.651100,-108.178600,-0.000000,bottom
"R6","R6","CR0603",143.431100,-108.178600,-0.000000,bottom
"R7","R7","CR0603",161.211100,-108.178600,-0.000000,bottom
"R8","R8","CR0603",178.991100,-108.178600,-0.000000,bottom
"R9","R9","CR0603",125.651100,-101.828600,-0.000000,bottom
"R10","R10","CR0603",143.431100,-101.828600,-0.000000,bottom
"R11","R11","CR0603",161.211100,-101.828600,-0.000000,bottom
"R12","R12","CR0603",178.991100,-101.828600,-0.000000,bottom
"R13","R13","CR0603",115.491100,-108.178600,180.000000,bottom
"R14","R14","CR0603",133.271100,-108.178600,180.000000,bottom
"R15","R15","CR0603",151.051100,-108.178600,180.000000,bottom
"R16","R16","CR0603",168.831100,-108.178600,180.000000,bottom
