Ref,Val,Package,PosX,PosY,Rot,Side
"H1","MOUNT-HOLE3.2(NORESIST)","3,2",107.871100,-89.128600,0.000000,top
"H2","MOUNT-HOLE3.2(NORESIST)","3,2",189.151100,-89.128600,0.000000,top
"H3","MOUNT-HOLE3.2(NORESIST)","3,2",107.871100,-120.878600,0.000000,top
"H4","MOUNT-HOLE3.2(NORESIST)","3,2",189.151100,-120.878600,0.000000,top
"LED CONTROL","","ML10",189.024100,-104.876600,90.000000,top
"PORT1","MTJ-88ARX1-LH","MTJ-88ARX1-LH",126.921100,-89.128600,180.000000,top
"PORT2","MTJ-88ARX1-LH","MTJ-88ARX1-LH",144.701100,-89.128600,180.000000,top
"PORT3","MTJ-88ARX1-LH","MTJ-88ARX1-LH",162.481100,-89.128600,180.000000,top
"PORT4","MTJ-88ARX1-LH","MTJ-88ARX1-LH",180.261100,-89.128600,180.000000,top
"PORT5","MTJ-88ARX1-LH","MTJ-88ARX1-LH",114.221100,-120.878600,0.000000,top
"PORT6","MTJ-88ARX1-LH","MTJ-88ARX1-LH",132.001100,-120.878600,0.000000,top
"PORT7","MTJ-88ARX1-LH","MTJ-88ARX1-LH",149.781100,-120.878600,0.000000,top
"PORT8","MTJ-88ARX1-LH","MTJ-88ARX1-LH",167.561100,-120.878600,0.000000,top
